
2025/02/03 (17:34:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (19:24:56) | ===> btop++ v.1.4.0
2025/02/03 (19:24:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/03 (19:24:58) | WARNING: Failed to join _runner thread on exit!

2025/02/03 (20:40:00) | ===> btop++ v.1.4.0
2025/02/03 (20:40:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/03 (20:40:03) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (11:32:39) | ===> btop++ v.1.4.0
2025/02/04 (11:32:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (11:33:13) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (11:37:08) | ===> btop++ v.1.4.0
2025/02/04 (11:37:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (14:57:40) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (18:12:09) | ===> btop++ v.1.4.0
2025/02/04 (18:12:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (18:12:20) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (18:12:31) | ===> btop++ v.1.4.0
2025/02/04 (18:12:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (18:15:30) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (18:22:11) | ===> btop++ v.1.4.0
2025/02/04 (18:22:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (18:49:13) | ===> btop++ v.1.4.0
2025/02/04 (18:49:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (18:49:16) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (18:49:36) | ===> btop++ v.1.4.0
2025/02/04 (18:49:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (18:49:38) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (15:39:30) | ===> btop++ v.1.4.0
2025/02/05 (15:39:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (16:54:56) | WARNING: Failed to join _runner thread on exit!

